动画ID,方向,帧数,备注
flashID,direction,count,comment
10001,8,7,lkk
10002,8,8,lkk
10003,4,16,lkk
10004,4,2,lkk
10005,4,10,lkk
20001,1,10,苹儿
20011,1,10,崂山小道
20021,1,5,净空方丈
30001,4,6,变异大毛虫
30002,4,10,变异大毛虫
30003,4,11,变异大毛虫
30004,4,2,变异大毛虫
30005,4,10,变异大毛虫
30011,4,8,小青蛙
30012,4,7,小青蛙
30013,4,13,小青蛙
30014,4,2,小青蛙
30015,4,8,小青蛙
30021,4,8,小乌龟
30022,4,5,小乌龟
30023,4,15,小乌龟
30024,4,6,小乌龟
30025,4,10,小乌龟
30031,4,10,苍狼
30032,4,6,苍狼
30033,4,9,苍狼
30034,4,1,苍狼
30035,4,9,苍狼
30041,4,9,吊睛虎
30042,4,5,吊睛虎
30043,4,10,吊睛虎
30044,4,2,吊睛虎
30045,4,7,吊睛虎
30051,4,1,树精
30052,4,8,树精
30053,4,8,树精
30054,4,2,树精
30055,4,7,树精
30061,4,9,匪兵
30062,4,5,匪兵
30063,4,14,匪兵
30064,4,2,匪兵
30065,4,8,匪兵
30071,4,9,虾兵
30072,4,5,虾兵
30073,4,11,虾兵
30074,4,2,虾兵
30075,4,8,虾兵
30081,4,8,蟹将
30082,4,5,蟹将
30083,4,11,蟹将
30084,4,2,蟹将
30085,4,8,蟹将
30091,4,8,蛙妖
30092,4,4,蛙妖
30093,4,12,蛙妖
30094,4,2,蛙妖
30095,4,12,蛙妖
30101,4,10,鬼灵
30102,4,5,鬼灵
30103,4,12,鬼灵
30104,4,2,鬼灵
30105,4,9,鬼灵
30111,4,8,牛妖
30112,4,4,牛妖
30113,4,13,牛妖
30114,4,2,牛妖
30115,4,8,牛妖
30121,4,13,龙太子
30122,4,5,龙太子
30123,4,12,龙太子
30124,4,2,龙太子
30125,4,10,龙太子
30131,4,10,狐妖
30132,4,5,狐妖
30133,4,10,狐妖
30134,4,2,狐妖
30135,4,10,狐妖
